site,depth,month,day,year,alk,turb,nh3,tn,nos,srp,tp,chl
11,0,2,20,2020,19.5,NA,0.4,406,280.3,0.2,4.5,2.04
11,5,2,20,2020,19.4,NA,-2.1,415.2,284.1,0.4,5.8,2.61
11,10,2,20,2020,19.1,NA,-2.9,442.7,277.9,0.4,5,2.57
11,15,2,20,2020,19.2,NA,-3,413.7,284.9,1.7,4.6,2.77
11,20,2,20,2020,20,NA,-3.6,398.1,270.9,0.2,4.4,2.55
21,0,2,20,2020,18.7,NA,-0.1,406.1,299.1,0.9,4.2,1.39
21,5,2,20,2020,18.6,NA,2.1,422.6,296.2,0.9,5.2,1.46
21,10,2,20,2020,18.8,NA,0.4,416.7,294.4,1.1,4.5,1.73
22,0,2,20,2020,19.2,NA,1.2,419,290.6,1.6,4.1,1.52
22,5,2,20,2020,18.8,NA,-1.6,430,296.8,1.6,4.6,1.78
22,10,2,20,2020,19.1,NA,-0.9,418.6,296.5,0.9,5.1,1.76
22,15,2,20,2020,18.8,NA,-1.1,414.6,301.2,0.6,5.3,1.61
22,20,2,20,2020,18.9,NA,-0.6,413.1,295.8,1,5.7,1.54
31,0,2,18,2020,18.8,NA,0.6,426.6,306.1,1,4.8,0.64
31,5,2,18,2020,18.9,NA,-1.3,413.5,303.5,0.9,5.6,0.76
31,10,2,18,2020,19,NA,0.7,411.3,310.7,2,5.1,0.67
31,15,2,18,2020,NA,NA,NA,NA,NA,NA,NA,0.68
31,20,2,18,2020,19.1,NA,-1.5,404.7,308.6,1.2,5.2,0.67
31,40,2,18,2020,18.9,NA,-1.1,412.3,307.3,1.2,4.6,NA
31,60,2,18,2020,19.1,NA,-1.5,401,309.8,1.5,4.6,NA
31,75,2,18,2020,18.8,NA,-1.5,404.6,305.2,-1,4.7,NA
31,80,2,18,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,0,2,18,2020,18.5,NA,-4.8,428.6,317.6,-1.7,4,0.48
32,5,2,18,2020,18.5,NA,-4.7,407.7,322,-1.8,4.1,0.59
32,10,2,18,2020,18.7,NA,-3.8,423.8,326.8,-1.8,4.2,0.63
32,15,2,18,2020,NA,NA,NA,NA,NA,NA,NA,0.55
32,20,2,18,2020,18.5,NA,-2.8,426.6,326.2,-0.7,4.4,0.54
32,40,2,18,2020,18.7,NA,-4.1,415.4,323.3,-0.4,4.4,NA
32,60,2,18,2020,18.6,NA,-3.8,421,314.3,0.1,4.5,NA
32,80,2,18,2020,18.6,NA,-2.8,412.1,320.1,0.7,4.3,NA
32,90,2,18,2020,18.6,NA,-2.7,425,326.3,1.6,4,NA
0,0,2,20,2020,19.2,NA,-1.5,425.2,298.5,1.7,5.5,NA
11,0,5,14,2020,NA,0.45,5.8,400.9,211.2,2.1,3.5,1.82
11,5,5,14,2020,NA,0.62,6.9,421.8,214.9,2.4,1.8,3.63
11,10,5,14,2020,NA,NA,NA,NA,NA,NA,NA,NA
11,15,5,14,2020,NA,NA,NA,NA,NA,NA,NA,NA
11,20,5,14,2020,NA,0.49,24.5,410.3,231.4,2.5,0.9,1.42
21,0,5,14,2020,NA,0.45,3,398.2,227.2,2.3,0.8,2.28
21,5,5,14,2020,NA,0.63,0.9,404,232.7,2.4,0.8,2.81
21,10,5,14,2020,NA,0.58,3.4,402.4,232.3,2.2,0.7,2.49
22,0,5,14,2020,NA,0.54,1.2,402.1,233.4,2.1,1,2.21
22,5,5,14,2020,NA,0.48,1.3,403.8,234.6,2.2,1.1,2.7
22,10,5,14,2020,NA,NA,NA,NA,NA,NA,NA,NA
22,15,5,14,2020,NA,NA,NA,NA,NA,NA,NA,NA
22,20,5,14,2020,NA,0.62,14.7,476.6,285.6,2.4,2.5,3.89
31,0,5,12,2020,NA,0.42,2.2,409.6,247.4,2.1,0.6,1.6
31,5,5,12,2020,NA,0.49,-0.1,412.2,250.4,2.1,1.2,2.7
31,10,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
31,15,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
31,20,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
31,40,5,12,2020,NA,0.41,13.8,451.1,338.4,2.6,-0.2,NA
31,60,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
31,75,5,12,2020,NA,0.49,6.6,445.8,333.3,2.9,0.5,NA
31,80,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,0,5,12,2020,NA,0.43,2.3,412,246.2,2.2,0.9,2.34
32,5,5,12,2020,NA,0.49,0.6,417.7,246.4,2.3,1.3,2.4
32,10,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,15,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,20,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,40,5,12,2020,NA,0.4,-1.5,459,335.9,2.5,0,NA
32,60,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,80,5,12,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,90,5,12,2020,NA,0.42,-2.2,452,333.3,2.8,0,NA
0,0,5,14,2020,NA,NA,NA,NA,NA,NA,NA,NA
11,0,6,18,2020,20.7,0.65,-14.7,292.4,77.2,0,2.8,5.3
11,5,6,18,2020,20.6,0.72,-17.1,300.9,88.3,0.2,2.6,6.51
11,10,6,18,2020,20.2,0.85,11.9,368.8,143.6,0.3,4.8,8.92
11,15,6,18,2020,20.2,0.56,54.4,378.8,170.6,0.2,2.2,4.54
11,20,6,18,2020,20.2,0.7,59.8,389.5,174.9,0.4,3.7,3.15
21,0,6,18,2020,20.1,0.61,-16.6,305.4,115.5,0,1.1,5.47
21,5,6,18,2020,19.4,0.63,-15.7,329.7,131.9,0,0.4,5.66
21,10,6,18,2020,19.5,0.68,-13.5,342.3,152.6,-0.1,1,5.05
22,0,6,18,2020,19.3,0.62,-15.7,319.4,140.7,0,0.3,5.25
22,5,6,18,2020,19.3,0.64,-19.4,344,140.9,0.1,0.8,5.7
22,10,6,18,2020,19.6,0.65,-16.3,348.1,145.3,0.1,0.5,6.26
22,15,6,18,2020,19,0.72,1.8,438.5,235.5,0,1.2,5
22,20,6,18,2020,19.1,0.57,0.7,379.7,190.6,0.1,0.8,4.92
31,0,6,16,2020,19,0.53,-11.4,341.6,152.7,0.1,1.1,6.06
31,5,6,16,2020,19.3,0.6,-5.2,343.7,156.2,-0.1,1,6.37
31,10,6,16,2020,19.2,0.52,7.1,379.6,172.7,0.4,0.9,6.42
31,15,6,16,2020,NA,NA,NA,NA,NA,NA,NA,3.27
31,20,6,16,2020,18.6,0.29,10.8,420.3,293.8,2,-0.8,1.32
31,40,6,16,2020,18.5,0.33,-12.5,448.5,322.8,0.1,0,NA
31,60,6,16,2020,18.6,0.4,-22.9,433.9,321.8,0.2,-0.7,NA
31,75,6,16,2020,18.8,0.56,-18.6,450.2,319.7,0.7,0.4,NA
31,80,6,16,2020,NA,NA,NA,NA,NA,NA,NA,NA
32,0,6,16,2020,19.2,0.59,-23.9,351.9,162.9,0.1,1,5.94
32,5,6,16,2020,19.1,0.55,-17.4,358.8,160,0.1,1.5,6.44
32,10,6,16,2020,19,0.52,-25.8,351.3,155.7,-0.1,0.9,5.67
32,15,6,16,2020,NA,NA,NA,NA,NA,NA,NA,6.09
32,20,6,16,2020,18.7,0.41,-29.6,389.2,210,0,0.7,4.74
32,40,6,16,2020,18.8,0.37,-25.5,444.6,325.3,0,-0.8,NA
32,60,6,16,2020,18.6,0.38,-35.2,446.8,326,0.2,-0.9,NA
32,80,6,16,2020,18.5,0.42,-24.9,450.2,321.1,0.3,-0.4,NA
32,90,6,16,2020,18.5,0.46,-22.3,457.6,332.2,1.8,-0.6,NA
0,0,6,18,2020,19.2,0.59,-16.5,408.4,207.3,0.1,3.1,NA
11,0,7,9,2020,21.1,0.66,3.3,239.9,NA,0.5,2.9,5.01
11,5,7,9,2020,21.2,0.75,3.2,250.2,NA,0.5,2.7,6.03
11,10,7,9,2020,21.1,0.97,5.7,348.9,NA,0.6,5.8,9.57
11,15,7,9,2020,21.7,1.81,57.2,430.5,NA,3.5,7.2,2.94
11,20,7,9,2020,21.7,1.75,42.2,427.3,NA,1.4,5.9,1.54
